request_id,result,verify_time_ms,timestamp
1,ACCEPTED ✅,3724.81,2025-06-28T17:52:19.647Z
2,ACCEPTED ✅,3724.89,2025-06-28T17:52:19.648Z
3,ACCEPTED ✅,3724.90,2025-06-28T17:52:19.648Z
4,ACCEPTED ✅,3724.80,2025-06-28T17:52:19.648Z
5,ACCEPTED ✅,3724.76,2025-06-28T17:52:19.649Z
6,ACCEPTED ✅,3725.20,2025-06-28T17:52:19.649Z
7,ACCEPTED ✅,3723.75,2025-06-28T17:52:19.649Z
8,ACCEPTED ✅,3723.77,2025-06-28T17:52:19.649Z
9,ACCEPTED ✅,3723.86,2025-06-28T17:52:19.649Z
10,ACCEPTED ✅,3724.47,2025-06-28T17:52:19.650Z
11,ACCEPTED ✅,3590.13,2025-06-28T17:52:24.243Z
12,ACCEPTED ✅,3590.36,2025-06-28T17:52:24.245Z
13,ACCEPTED ✅,3591.09,2025-06-28T17:52:24.246Z
14,ACCEPTED ✅,3591.82,2025-06-28T17:52:24.246Z
15,ACCEPTED ✅,3591.31,2025-06-28T17:52:24.247Z
16,ACCEPTED ✅,3591.57,2025-06-28T17:52:24.248Z
17,ACCEPTED ✅,3591.53,2025-06-28T17:52:24.248Z
18,ACCEPTED ✅,3591.50,2025-06-28T17:52:24.248Z
19,ACCEPTED ✅,3592.00,2025-06-28T17:52:24.249Z
20,ACCEPTED ✅,3592.34,2025-06-28T17:52:24.250Z
21,ACCEPTED ✅,3637.20,2025-06-28T17:52:28.889Z
22,ACCEPTED ✅,3636.21,2025-06-28T17:52:28.891Z
23,ACCEPTED ✅,3636.19,2025-06-28T17:52:28.891Z
24,ACCEPTED ✅,3636.21,2025-06-28T17:52:28.891Z
25,ACCEPTED ✅,3636.22,2025-06-28T17:52:28.891Z
26,ACCEPTED ✅,3636.23,2025-06-28T17:52:28.891Z
27,ACCEPTED ✅,3636.23,2025-06-28T17:52:28.891Z
28,ACCEPTED ✅,3636.24,2025-06-28T17:52:28.891Z
29,ACCEPTED ✅,3636.24,2025-06-28T17:52:28.891Z
30,ACCEPTED ✅,3636.24,2025-06-28T17:52:28.891Z
31,ACCEPTED ✅,3610.44,2025-06-28T17:52:33.509Z
32,ACCEPTED ✅,3608.72,2025-06-28T17:52:33.511Z
33,ACCEPTED ✅,3609.10,2025-06-28T17:52:33.511Z
34,ACCEPTED ✅,3609.10,2025-06-28T17:52:33.511Z
35,ACCEPTED ✅,3609.09,2025-06-28T17:52:33.511Z
36,ACCEPTED ✅,3609.09,2025-06-28T17:52:33.512Z
37,ACCEPTED ✅,3609.08,2025-06-28T17:52:33.512Z
38,ACCEPTED ✅,3609.07,2025-06-28T17:52:33.512Z
39,ACCEPTED ✅,3609.06,2025-06-28T17:52:33.512Z
40,ACCEPTED ✅,3609.06,2025-06-28T17:52:33.512Z
41,ACCEPTED ✅,3565.00,2025-06-28T17:52:38.079Z
42,ACCEPTED ✅,3563.94,2025-06-28T17:52:38.079Z
43,ACCEPTED ✅,3563.95,2025-06-28T17:52:38.079Z
44,ACCEPTED ✅,3563.94,2025-06-28T17:52:38.080Z
45,ACCEPTED ✅,3563.93,2025-06-28T17:52:38.080Z
46,ACCEPTED ✅,3563.92,2025-06-28T17:52:38.080Z
47,ACCEPTED ✅,3563.92,2025-06-28T17:52:38.080Z
48,ACCEPTED ✅,3563.91,2025-06-28T17:52:38.080Z
49,ACCEPTED ✅,3563.90,2025-06-28T17:52:38.080Z
50,ACCEPTED ✅,3563.89,2025-06-28T17:52:38.080Z
